fta params:,lower,upper,delta,eta
,-2,2,0.2857142857142857,0.2857142857142857
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
282,19.76,0.44,0.01
283,28.43,0.76,0.01
284,36.18,0.87,0.01
285,30.19,1.17,0.01
286,35.58,1.59,0.01
287,17.61,1.87,0.01
288,-1.27,1.53,0.01
289,18.61,2.43,0.01
290,-6.2,2.48,0.01
291,12.8,2.31,0.01
292,33.27,2.71,0.01
293,26.57,1.81,0.01
294,40.7,2.4,0.01
295,-18.85,2.61,0.01
296,6.25,2.62,0.01
297,8.45,2.73,0.01
298,-0.25,2.81,0.01
299,12.87,3.44,0.01
300,28.88,3.81,0.01
301,-0.59,4.39,0.01
302,47.88,5.24,0.01
303,48.41,5.93,0.01
304,1.68,5.95,0.01
305,25.56,6.32,0.01
306,42.59,7.27,0.01
307,60.81,8.36,0.01
308,36.57,8.72,0.01
309,22.3,8.75,0.01
310,-5.87,8.81,0.01
311,26.23,9.35,0.01
312,-4.81,9.45,0.01
313,40.92,10.14,0.01
314,32.45,10.82,0.01
315,15.91,11.13,0.01
316,57.33,12.02,0.01
317,19.64,12.5,0.01
318,34.18,12.75,0.01
319,-6.45,12.91,0.01
320,25.35,13.29,0.01
321,5.57,13.75,0.01
322,-20.7,14.02,0.01
323,14.66,14.4,0.01
324,74.6,15.27,0.01
325,38.12,15.4,0.01
326,7.87,15.43,0.01
327,36.3,15.81,0.01
328,67.2,16.98,0.01
329,-1.41,15.23,0.01
330,40.96,15.69,0.01
331,70.85,16.52,0.01
332,30.24,17.08,0.01
333,51.68,17.55,0.01
334,71.2,17.97,0.01
335,54.1,18.7,0.01
336,62.47,19.55,0.01
337,26.89,20.0,0.01
338,36.52,20.31,0.01
339,45.27,20.61,0.01
340,23.94,20.67,0.01
341,-11.21,20.59,0.01
342,41.78,21.1,0.01
343,71.76,21.52,0.01
344,62.22,21.61,0.01
