fta params:,lower,upper,delta,eta
,-0.25,0.25,0.045454545454545456,0.045454545454545456
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
307,-85.46,-41.44,0.01
308,-62.37,-41.65,0.01
309,-17.22,-41.44,0.01
310,-53.1,-41.53,0.01
311,6.21,-40.91,0.01
312,-1.99,-40.38,0.01
313,-35.58,-40.39,0.01
314,-84.37,-40.43,0.01
315,-27.74,-40.31,0.01
316,-50.14,-40.35,0.01
317,-21.74,-39.18,0.01
318,-3.97,-39.93,0.01
319,-68.26,-40.13,0.01
320,-27.69,-39.63,0.01
321,-84.75,-40.48,0.01
322,-52.97,-40.82,0.01
323,-14.13,-40.45,0.01
324,-41.28,-40.18,0.01
325,-56.11,-40.32,0.01
326,-5.96,-39.85,0.01
327,-48.51,-39.67,0.01
328,-30.91,-40.1,0.01
329,-20.01,-39.73,0.01
330,-43.61,-40.42,0.01
331,-67.6,-40.76,0.01
332,-41.29,-40.95,0.01
333,-53.5,-41.4,0.01
334,-65.87,-41.95,0.01
335,-33.44,-41.7,0.01
336,-30.73,-41.68,0.01
337,-29.14,-41.26,0.01
338,-13.65,-41.11,0.01
339,-66.89,-41.48,0.01
340,-40.55,-41.45,0.01
341,-36.89,-41.23,0.01
342,-43.9,-40.91,0.01
343,-60.75,-41.0,0.01
344,-66.8,-41.04,0.01
345,-26.99,-41.94,0.01
346,-27.91,-41.64,0.01
347,-123.04,-42.79,0.01
348,-41.31,-41.67,0.01
349,-19.18,-41.48,0.01
350,-4.8,-40.9,0.01
351,14.63,-40.74,0.01
352,-45.31,-40.56,0.01
353,-14.67,-39.79,0.01
354,-32.7,-39.35,0.01
355,-5.35,-39.25,0.01
356,1.29,-38.51,0.01
357,-25.41,-38.35,0.01
358,-6.11,-37.96,0.01
359,-28.21,-37.61,0.01
360,-15.86,-37.37,0.01
361,-44.42,-37.82,0.01
362,-22.19,-37.68,0.01
363,-23.51,-38.01,0.01
364,-35.82,-37.99,0.01
365,15.49,-37.48,0.01
366,-72.11,-37.49,0.01
367,-23.76,-37.22,0.01
368,15.2,-36.58,0.01
369,-57.6,-36.41,0.01
370,12.67,-35.79,0.01
371,-12.04,-35.42,0.01
372,-55.69,-35.18,0.01
373,30.5,-34.36,0.01
374,6.9,-34.13,0.01
375,19.5,-33.82,0.01
376,-38.54,-33.85,0.01
377,-94.44,-34.86,0.01
378,-49.4,-35.02,0.01
379,-15.13,-34.77,0.01
380,10.46,-33.78,0.01
381,-47.24,-33.82,0.01
382,-20.55,-33.43,0.01
383,12.88,-33.34,0.01
384,3.91,-32.75,0.01
385,25.99,-32.27,0.01
386,-22.31,-32.25,0.01
387,18.03,-31.63,0.01
388,-76.51,-32.24,0.01
389,-34.24,-32.14,0.01
390,-23.73,-31.74,0.01
391,8.18,-31.33,0.01
392,-37.12,-31.15,0.01
393,-7.95,-30.92,0.01
394,-32.19,-30.92,0.01
395,-9.86,-30.68,0.01
396,-33.86,-30.66,0.01
397,-28.9,-30.82,0.01
398,-53.85,-30.63,0.01
399,-18.55,-30.64,0.01
400,-6.83,-30.29,0.01
401,214.74,-28.15,0.01
402,-32.68,-27.96,0.01
403,-20.09,-28.19,0.01
404,-92.25,-29.09,0.01
405,-13.72,-28.86,0.01
406,-34.68,-27.81,0.01
407,-15.95,-27.11,0.01
408,-4.05,-26.53,0.01
409,-2.82,-26.39,0.01
410,5.76,-25.8,0.01
411,-25.81,-26.12,0.01
412,-0.0,-26.1,0.01
413,-33.89,-26.08,0.01
414,-17.54,-25.41,0.01
415,-26.58,-25.4,0.01
416,-10.8,-25.01,0.01
417,-7.78,-24.87,0.01
418,-20.82,-25.04,0.01
419,-3.28,-24.39,0.01
420,-207.69,-26.19,0.01
421,-5.91,-25.4,0.01
422,28.9,-24.58,0.01
423,-9.11,-24.53,0.01
424,25.76,-23.86,0.01
425,-20.41,-23.5,0.01
426,7.91,-23.36,0.01
427,13.37,-22.75,0.01
428,67.8,-21.76,0.01
429,-164.36,-23.2,0.01
430,-145.41,-24.22,0.01
431,-77.49,-24.32,0.01
432,-40.78,-24.31,0.01
433,-118.24,-24.96,0.01
434,15.84,-24.14,0.01
435,-43.52,-24.24,0.01
436,-32.73,-24.26,0.01
437,-36.43,-24.34,0.01
438,-30.88,-24.51,0.01
439,-38.84,-24.23,0.01
440,-41.52,-24.24,0.01
441,-38.77,-24.26,0.01
442,-33.06,-24.15,0.01
443,-46.79,-24.01,0.01
444,33.36,-23.01,0.01
445,-45.04,-23.19,0.01
446,0.03,-22.91,0.01
447,-41.51,-22.09,0.01
448,-4.81,-21.73,0.01
449,-32.21,-21.86,0.01
450,20.44,-21.61,0.01
451,-37.5,-22.13,0.01
452,-11.4,-21.79,0.01
453,5.12,-21.59,0.01
454,5.68,-21.21,0.01
455,-17.18,-21.33,0.01
456,-0.6,-21.34,0.01
457,4.42,-21.05,0.01
458,-29.65,-21.28,0.01
459,22.43,-20.77,0.01
460,36.16,-20.25,0.01
461,-33.92,-20.15,0.01
462,15.57,-19.77,0.01
463,13.95,-19.4,0.01
464,31.15,-18.73,0.01
465,0.79,-18.87,0.01
466,-16.57,-18.32,0.01
467,-5.96,-18.14,0.01
468,40.85,-17.88,0.01
469,-31.0,-17.62,0.01
470,14.87,-17.6,0.01
471,38.32,-17.09,0.01
472,43.18,-16.1,0.01
473,28.72,-16.12,0.01
474,3.8,-16.15,0.01
475,8.64,-16.26,0.01
476,-2.47,-15.9,0.01
477,4.71,-14.91,0.01
478,-103.55,-15.45,0.01
479,1.13,-15.29,0.01
480,-3.59,-15.43,0.01
481,-11.82,-15.08,0.01
482,27.79,-14.59,0.01
483,4.66,-14.67,0.01
484,52.34,-14.19,0.01
485,-3.41,-14.48,0.01
486,27.26,-13.99,0.01
487,-105.92,-15.23,0.01
488,18.62,-14.28,0.01
489,-87.09,-14.8,0.01
490,53.36,-14.03,0.01
491,6.57,-14.05,0.01
492,26.28,-13.42,0.01
493,-57.28,-13.91,0.01
494,19.57,-13.39,0.01
495,2.02,-13.27,0.01
496,39.56,-12.54,0.01
497,34.38,-11.91,0.01
498,-29.7,-11.66,0.01
499,-17.42,-11.65,0.01
