activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,<function relu at 0x7fe9410cacb0>,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
255,161.3,-24.55,0.01
256,215.45,-21.61,0.01
257,-14.87,-21.34,0.01
258,200.25,-18.63,0.01
259,109.11,-17.02,0.01
260,-233.43,-18.52,0.01
261,208.8,-15.82,0.01
262,155.91,-13.63,0.01
263,256.13,-10.55,0.01
264,261.95,-7.21,0.01
265,277.66,-3.85,0.01
266,262.06,-0.64,0.01
267,-73.75,-1.16,0.01
268,-83.49,-1.43,0.01
269,240.85,1.52,0.01
270,-112.55,0.61,0.01
271,-203.81,-1.16,0.01
272,254.52,2.85,0.01
273,174.57,5.15,0.01
274,277.92,8.23,0.01
275,263.31,11.35,0.01
276,244.6,14.74,0.01
277,205.57,17.49,0.01
278,257.63,20.15,0.01
279,238.91,23.1,0.01
280,277.74,26.26,0.01
281,246.07,28.81,0.01
282,269.66,32.01,0.01
283,245.74,35.11,0.01
284,246.36,37.89,0.01
285,254.51,40.72,0.01
286,253.85,43.81,0.01
287,257.65,47.47,0.01
288,257.68,50.4,0.01
289,283.38,54.1,0.01
290,268.84,57.28,0.01
291,251.03,60.57,0.01
292,273.02,63.74,0.01
293,258.18,67.01,0.01
294,227.36,69.69,0.01
295,263.55,72.77,0.01
296,265.1,75.68,0.01
297,285.7,79.31,0.01
298,252.79,82.51,0.01
299,209.55,84.87,0.01
300,280.35,87.87,0.01
301,263.95,91.05,0.01
302,215.9,93.79,0.01
303,260.86,96.32,0.01
304,0.1,97.32,0.01
305,234.1,100.02,0.01
306,193.07,102.72,0.01
307,266.85,105.67,0.01
308,143.01,107.28,0.01
309,245.63,110.25,0.01
310,218.15,112.79,0.01
311,241.6,115.52,0.01
312,190.71,117.7,0.01
313,244.55,120.77,0.01
314,278.98,123.61,0.01
315,295.16,126.76,0.01
316,276.67,129.84,0.01
317,270.04,131.9,0.01
318,225.39,134.59,0.01
319,257.04,137.62,0.01
320,273.86,140.29,0.01
321,237.76,140.73,0.01
322,211.63,141.29,0.01
323,278.99,144.24,0.01
324,11.05,142.16,0.01
325,252.19,145.54,0.01
326,218.5,147.87,0.01
327,250.35,150.26,0.01
328,274.44,153.81,0.01
329,273.39,154.48,0.01
330,290.71,158.01,0.01
331,268.11,158.54,0.01
332,247.44,159.14,0.01
333,250.22,159.2,0.01
334,266.02,160.45,0.01
335,256.52,163.88,0.01
336,246.15,167.18,0.01
337,278.86,170.21,0.01
338,227.91,170.57,0.01
339,5.28,169.23,0.01
340,238.05,171.55,0.01
341,63.75,170.73,0.01
342,-266.96,170.21,0.01
343,243.68,175.36,0.01
344,65.48,179.29,0.01
345,14.19,179.64,0.01
346,24.95,179.81,0.01
347,262.91,183.16,0.01
348,261.79,188.86,0.01
349,214.87,190.82,0.01
350,-37.68,190.64,0.01
351,-25.74,190.77,0.01
352,283.21,193.92,0.01
353,230.51,196.33,0.01
354,11.53,194.98,0.01
355,272.76,196.1,0.01
356,250.85,196.45,0.01
357,238.54,198.99,0.01
358,222.16,199.21,0.01
359,269.5,200.81,0.01
360,245.92,205.6,0.01
361,274.86,206.26,0.01
362,262.11,207.33,0.01
363,231.02,207.07,0.01
364,284.28,207.3,0.01
365,284.45,207.37,0.01
366,228.63,207.03,0.01
367,243.47,210.2,0.01
368,254.09,213.58,0.01
369,259.08,213.76,0.01
370,24.24,215.13,0.01
371,306.97,220.24,0.01
372,4.16,217.73,0.01
373,250.62,218.49,0.01
374,-4.74,215.67,0.01
375,265.41,215.69,0.01
376,216.75,215.41,0.01
377,310.72,216.46,0.01
378,279.88,216.68,0.01
379,218.54,216.48,0.01
380,281.71,216.52,0.01
381,2.47,214.08,0.01
382,220.77,213.6,0.01
383,257.64,213.71,0.01
384,20.27,211.45,0.01
385,244.67,211.35,0.01
386,235.29,211.17,0.01
387,223.87,210.83,0.01
388,220.9,210.46,0.01
389,203.45,209.66,0.01
390,-157.91,205.4,0.01
391,-35.18,202.53,0.01
392,47.53,200.28,0.01
393,5.94,197.76,0.01
394,-78.63,194.7,0.01
395,-12.26,191.94,0.01
396,254.58,191.83,0.01
397,-82.02,188.16,0.01
398,11.26,185.74,0.01
399,-4.34,183.6,0.01
400,183.04,182.63,0.01
401,-56.78,179.42,0.01
402,225.09,179.51,0.01
403,165.96,178.57,0.01
404,147.11,180.04,0.01
405,-196.46,175.73,0.01
406,195.27,175.75,0.01
407,256.11,175.64,0.01
408,217.21,176.39,0.01
409,216.29,176.09,0.01
410,306.93,176.98,0.01
