activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,FTA(),0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
349,269.29,74.18,0.01
350,248.5,76.89,0.01
351,268.51,79.88,0.01
352,256.26,82.56,0.01
353,233.35,84.88,0.01
354,238.63,87.44,0.01
355,246.8,89.84,0.01
356,211.02,92.65,0.01
357,184.39,94.79,0.01
358,269.69,97.9,0.01
359,-145.22,97.06,0.01
360,270.86,100.53,0.01
361,281.02,103.61,0.01
362,257.08,106.31,0.01
363,279.7,109.56,0.01
364,255.19,112.82,0.01
365,270.9,115.7,0.01
366,258.91,118.69,0.01
367,233.76,121.01,0.01
368,237.61,124.21,0.01
369,254.46,127.18,0.01
370,296.91,130.93,0.01
371,286.7,134.07,0.01
372,29.34,135.42,0.01
373,179.68,139.49,0.01
374,4.87,139.82,0.01
375,249.36,142.98,0.01
376,314.61,146.59,0.01
377,269.31,148.89,0.01
378,281.44,152.04,0.01
379,261.48,155.12,0.01
380,273.67,157.47,0.01
381,252.45,160.83,0.01
382,245.13,162.81,0.01
383,267.3,165.84,0.01
384,266.04,167.77,0.01
385,286.79,170.88,0.01
386,256.05,173.61,0.01
387,216.56,175.47,0.01
388,-5.27,173.49,0.01
389,-286.85,169.54,0.01
390,247.02,172.43,0.01
391,71.04,173.64,0.01
392,260.98,175.6,0.01
393,278.63,176.42,0.01
394,245.99,178.7,0.01
395,285.46,178.84,0.01
396,254.96,180.17,0.01
397,-45.3,178.57,0.01
398,263.49,179.7,0.01
399,273.13,183.11,0.01
400,235.5,184.38,0.01
401,226.35,185.41,0.01
402,242.1,187.89,0.01
403,-58.96,186.16,0.01
404,226.6,189.73,0.01
405,282.5,190.06,0.01
406,261.59,191.58,0.01
407,251.39,191.68,0.01
408,255.3,191.67,0.01
409,285.08,192.19,0.01
410,-238.68,187.13,0.01
411,12.46,185.09,0.01
412,-82.58,182.04,0.01
413,271.01,182.68,0.01
414,194.49,181.88,0.01
415,249.81,187.22,0.01
416,239.42,189.36,0.01
417,255.37,189.26,0.01
418,236.01,189.69,0.01
419,286.21,190.07,0.01
420,248.45,190.78,0.01
421,265.23,195.13,0.01
422,272.51,196.06,0.01
423,234.55,196.61,0.01
424,239.45,196.14,0.01
425,258.18,196.33,0.01
426,260.33,196.38,0.01
427,262.47,196.47,0.01
428,269.19,196.64,0.01
429,-168.82,195.17,0.01
430,50.15,193.15,0.01
431,272.17,193.71,0.01
432,-289.02,189.18,0.01
433,242.31,189.69,0.01
434,258.78,196.94,0.01
435,-455.48,189.94,0.01
436,18.08,188.17,0.01
437,257.38,187.84,0.01
438,268.71,191.37,0.01
439,274.7,191.45,0.01
440,-446.83,184.53,0.01
441,262.42,184.68,0.01
442,-50.57,181.59,0.01
443,267.24,183.22,0.01
444,247.04,183.36,0.01
445,269.35,183.68,0.01
446,-10.06,180.68,0.01
447,-720.17,171.05,0.01
448,258.17,177.09,0.01
449,-36.84,174.02,0.01
450,269.51,174.23,0.01
451,212.15,173.67,0.01
452,234.05,173.45,0.01
453,298.68,174.1,0.01
454,30.88,172.02,0.01
455,248.19,172.04,0.01
456,243.47,172.36,0.01
457,294.76,173.47,0.01
458,245.6,173.23,0.01
459,237.81,177.06,0.01
460,-14.4,174.2,0.01
461,-112.42,170.27,0.01
462,214.62,169.84,0.01
463,-17.86,166.87,0.01
464,267.45,166.99,0.01
465,227.73,166.56,0.01
466,14.27,164.11,0.01
467,-16.33,161.61,0.01
468,209.76,161.33,0.01
469,220.23,160.99,0.01
470,-216.38,155.86,0.01
471,9.44,153.09,0.01
472,-252.59,150.27,0.01
473,-455.56,143.91,0.01
474,-32.95,143.54,0.01
475,184.1,142.88,0.01
476,-54.48,139.19,0.01
477,259.86,139.1,0.01
478,216.58,138.45,0.01
479,255.98,138.39,0.01
480,276.42,138.42,0.01
481,0.01,135.9,0.01
482,236.27,135.81,0.01
483,190.75,135.04,0.01
484,-376.1,128.62,0.01
485,267.74,128.43,0.01
486,227.25,128.14,0.01
487,264.74,128.63,0.01
488,253.97,131.22,0.01
489,213.7,136.22,0.01
490,268.72,136.44,0.01
491,268.76,138.42,0.01
492,277.65,138.58,0.01
493,-293.4,132.86,0.01
494,249.2,132.9,0.01
495,205.86,132.1,0.01
496,259.56,132.15,0.01
497,245.91,135.06,0.01
498,248.28,134.91,0.01
499,250.02,134.68,0.01
500,222.51,134.55,0.01
501,96.3,133.24,0.01
502,234.08,133.16,0.01
503,204.41,135.8,0.01
504,267.49,136.21,0.01
505,6.36,133.45,0.01
506,247.18,133.3,0.01
507,206.3,132.85,0.01
508,171.08,132.01,0.01
509,233.73,131.49,0.01
510,63.86,134.52,0.01
511,283.73,137.23,0.01
512,179.15,139.85,0.01
513,199.14,139.13,0.01
514,270.93,139.9,0.01
515,210.66,139.5,0.01
516,234.75,139.46,0.01
517,173.3,138.64,0.01
518,116.28,137.44,0.01
519,240.48,136.98,0.01
520,233.26,136.83,0.01
521,-227.46,131.9,0.01
522,201.1,131.19,0.01
523,234.8,131.19,0.01
524,235.17,131.15,0.01
525,223.64,130.8,0.01
526,234.76,130.55,0.01
527,12.91,128.05,0.01
528,242.1,127.78,0.01
529,253.05,132.0,0.01
530,225.87,133.76,0.01
531,240.72,133.44,0.01
532,207.98,138.41,0.01
533,-98.54,135.0,0.01
534,194.81,134.37,0.01
535,254.4,141.46,0.01
536,240.29,143.69,0.01
537,233.54,143.45,0.01
538,253.28,143.29,0.01
539,218.61,142.73,0.01
540,119.79,148.4,0.01
